ANO;MES ;Fecha;Masculino;Femenino;Indeterminado;hora1;dia1;dias1_6;dias7_27;dias28_29;meses1_5;meses6_11;ano1;anos2_4;anos5_9;anos10_14;anos15_19;anos20_24;anos25_29;anos30_34;anos35_39;anos40_44;anos45_49;anos50_54;anos55_59;anos60_64;anos65_69;anos70_74;anos75_79;anos80_84;anos85_89;anos90_94;anos95_99;anos100;edad_desconocida1;ano2_1;anos2_2;anos2_5_14anos;anos2_15_44;anos2_45_64;anos2_65_94;edad_desconocida2;preescolar;primaria;secundaria;media;media_tecnica;normalista;tecnica;tecnologica;profesional;especializacion;maestria;doctorado;ninguno;sin_informacion;ul_vive_pareja_mas2anos;ul_vive_pareja_menos2anos;divorciado;viudo;soltero;casado;sin_informacion;Contributivo;Subsidiado;Excepcion;Especial;No_asegurado;Sin_informacion_ss;ididmasalud1;ididmasalud2;ididmasalud3;ididmasalud4;ididmasalud5;ididmasalud9;;SEXO
1998;1;1/01/1998;151;37;1;;0;0;0;0;0;0;0;0;1;4;33;34;32;13;14;12;5;10;8;3;7;3;1;3;;;;;;0;0;5;138;26;16;4;;;;;;;;;;;;;;;;;;;;;;12;24;;;;;;;;;;;;EDAD1
1998;2;1/02/1998;122;39;0;;0;0;0;0;0;0;0;0;0;5;25;26;29;16;15;11;5;7;4;4;5;1;0;0;;;;;;0;0;5;122;20;6;8;;;;;;;;;;;;;;;;;;;;;;15;18;;;;;;;;;;;;EDAD2
1998;3;1/03/1998;154;54;1;;0;0;0;0;0;0;0;0;0;10;41;45;28;19;17;10;9;10;5;4;4;2;0;1;;;;;;0;0;10;160;28;7;4;;;;;;;;;;;;;;;;;;;;;;15;16;;;;;;;;;;;;EDUCACION
1998;4;1/04/1998;124;44;0;;0;0;0;0;0;0;0;0;0;9;24;34;24;15;13;13;6;6;2;5;5;2;1;2;;;;;;0;0;9;123;19;12;5;;;;;;;;;;;;;;;;;;;;;;19;19;;;;;;;;;;;;CIVIL
1998;5;1/05/1998;138;30;0;;0;0;0;0;0;0;0;0;0;3;30;34;23;19;12;5;9;4;8;4;3;5;3;2;;;;;;0;0;3;123;25;14;3;;;;;;;;;;;;;;;;;;;;;;17;16;;;;;;;;;;;;SEG
1998;6;1/06/1998;130;41;0;;0;0;0;0;0;0;0;0;2;6;35;29;19;23;12;13;7;7;2;2;3;2;3;1;;;;;;0;0;8;131;18;10;4;;;;;;;;;;;;;;;;;;;;;;16;17;;;;;;;;;;;;IDIDMASALUD
1998;7;1/07/1998;129;39;1;;0;0;0;0;0;0;0;0;1;4;27;28;24;17;12;4;9;12;6;5;4;4;3;0;;;;;;0;0;5;112;32;12;8;;;;;;;;;;;;;;;;;;;;;;12;14;;;;;;;;;;;;OCUPACION
1998;8;1/08/1998;107;43;0;;0;0;0;0;0;0;0;0;0;5;33;22;18;11;6;13;10;3;5;6;2;5;3;2;;;;;;0;0;5;103;24;13;5;;;;;;;;;;;;;;;;;;;;;;18;13;;;;;;;;;;;;
1998;9;1/09/1998;122;43;0;;0;0;0;0;0;0;0;0;0;12;29;29;24;10;15;5;7;7;7;4;0;4;2;1;;;;;;0;0;12;112;25;11;5;;;;;;;;;;;;;;;;;;;;;;24;17;;;;;;;;;;;;
1998;10;1/10/1998;136;41;0;;0;0;0;0;0;0;0;0;0;6;30;30;27;15;18;10;4;11;5;7;3;3;2;0;;;;;;0;0;6;130;27;9;5;;;;;;;;;;;;;;;;;;;;;;17;26;;;;;;;;;;;;
1998;11;1/11/1998;131;50;1;;0;0;0;0;0;0;0;0;0;6;32;35;24;14;14;17;8;4;8;3;4;1;2;2;;;;;;0;0;6;136;23;12;5;;;;;;;;;;;;;;;;;;;;;;18;19;;;;;;;;;;;;
1998;12;1/12/1998;158;50;0;;0;0;0;0;0;0;0;0;0;9;31;39;23;32;16;12;6;9;5;5;7;4;4;1;;;;;;0;0;9;153;25;16;5;;;;;;;;;;;;;;;;;;;;;;25;38;;;;;;;;;;;;
1999;1;1/01/1999;152;40;0;;0;0;0;0;0;0;0;0;0;4;27;40;31;18;14;7;8;6;12;5;10;4;4;1;;;;;;0;0;4;137;31;20;0;;;;;;;;;;;;;;;;;;;;;;28;22;;;;;;;;;;;;
1999;2;1/02/1999;105;41;0;;0;0;0;0;0;0;0;0;1;6;20;25;22;9;12;5;12;12;4;4;3;0;4;3;;;;;;0;0;7;93;32;11;3;;;;;;;;;;;;;;;;;;;;;;22;12;;;;;;;;;;;;
1999;3;1/03/1999;148;47;1;;0;0;0;0;0;0;0;1;0;8;36;29;34;23;17;10;6;9;4;7;5;2;1;1;;;;;;0;1;8;149;26;9;3;;;;;;;;;;;;;;;;;;;;;;19;27;;;;;;;;;;;;
1999;4;1/04/1999;136;34;0;;0;0;0;0;0;0;0;0;1;1;28;29;25;15;15;9;14;4;4;8;3;3;3;2;;;;;;0;0;2;121;30;13;4;;;;;;;;;;;;;;;;;;;;;;26;21;;;;;;;;;;;;
1999;5;1/05/1999;170;42;0;;0;0;0;0;0;0;0;0;1;6;42;36;26;25;19;12;11;8;5;5;7;5;1;0;;;;;;0;0;7;160;29;14;2;;;;;;;;;;;;;;;;;;;;;;18;32;;;;;;;;;;;;
1999;6;1/06/1999;140;50;0;;0;0;0;0;0;0;0;0;0;10;30;36;26;15;15;14;11;4;4;9;3;7;2;0;;;;;;0;0;10;136;28;15;1;;;;;;;;;;;;;;;;;;;;;;21;29;;;;;;;;;;;;
1999;7;1/07/1999;136;40;0;;0;0;0;0;0;0;0;0;0;10;43;27;19;19;18;8;5;6;7;6;1;2;3;1;;;;;;0;0;10;134;24;8;0;;;;;;;;;;;;;;;;;;;;;;20;17;;;;;;;;;;;;
1999;8;1/08/1999;141;39;1;;0;0;0;0;0;0;0;0;2;6;27;30;32;20;17;8;8;8;7;6;4;3;0;2;;;;;;0;0;8;134;29;9;1;;;;;;;;;;;;;;;;;;;;;;34;28;;;;;;;;;;;;
1999;9;1/09/1999;123;42;1;;0;0;0;0;0;0;0;0;0;7;23;42;17;20;14;8;13;6;4;1;6;3;2;0;;;;;;0;0;7;124;24;11;0;;;;;;;;;;;;;;;;;;;;;;15;24;;;;;;;;;;;;
1999;10;1/10/1999;126;47;1;;0;0;0;0;0;0;0;0;1;5;22;31;21;23;16;14;8;10;5;2;5;2;2;1;;;;;;0;0;6;127;25;14;2;;;;;;;;;;;;;;;;;;;;;;26;16;;;;;;;;;;;;
1999;11;1/11/1999;135;45;0;;0;0;0;0;0;0;0;0;0;10;42;27;15;14;20;11;10;10;3;7;2;3;1;1;;;;;;0;0;10;129;30;9;2;;;;;;;;;;;;;;;;;;;;;;27;25;;;;;;;;;;;;
1999;12;1/12/1999;163;31;0;;0;0;0;0;0;0;0;0;0;3;24;36;30;16;11;15;14;7;11;5;11;6;2;3;;;;;;0;0;3;132;37;22;0;;;;;;;;;;;;;;;;;;;;;;26;23;;;;;;;;;;;;
2000;1;1/01/2000;168;43;0;;0;0;0;0;1;0;0;0;0;10;33;46;26;22;13;12;9;8;7;6;7;5;4;1;;;;;;1;0;10;152;30;18;0;;;;;;;;;;;;;;;;;;;;;;25;36;;;;;;;;;;;;
2000;2;1/02/2000;127;32;0;;0;0;0;0;0;0;0;0;0;5;17;40;23;13;10;9;13;5;5;7;5;0;2;3;;;;;;0;0;5;112;30;12;0;;;;;;;;;;;;;;;;;;;;;;22;20;;;;;;;;;;;;
2000;3;1/03/2000;155;58;0;;0;0;0;0;0;0;0;0;0;9;46;37;29;13;10;11;12;9;12;6;5;8;3;1;;;;;;0;0;9;146;39;18;1;;;;;;;;;;;;;;;;;;;;;;31;28;;;;;;;;;;;;
2000;4;1/04/2000;159;44;0;;0;0;0;0;0;0;0;0;0;6;37;42;31;14;21;9;13;8;9;1;2;3;3;3;;;;;;0;0;6;154;31;11;1;;;;;;;;;;;;;;;;;;;;;;24;19;;;;;;;;;;;;
2000;5;1/05/2000;167;52;1;;0;0;0;0;0;0;0;0;0;8;34;45;32;21;18;9;17;7;2;6;5;5;5;2;;;;;;0;0;8;159;32;18;3;;;;;;;;;;;;;;;;;;;;;;23;37;;;;;;;;;;;;
2000;6;1/06/2000;152;50;1;;0;0;0;0;0;0;0;1;0;11;33;36;36;22;5;15;11;12;4;6;2;2;3;0;;;;;;0;1;11;147;33;9;2;;;;;;;;;;;;;;;;;;;;;;28;26;;;;;;;;;;;;
2000;7;1/07/2000;159;56;0;;0;0;0;0;0;0;0;0;2;8;45;49;29;19;10;9;9;2;9;5;2;2;6;2;;;;;;0;0;10;161;25;14;5;;;;;;;;;;;;;;;;;;;;;;26;39;;;;;;;;;;;;
2000;8;1/08/2000;149;46;0;;0;0;0;0;0;0;0;0;0;7;43;31;16;21;25;11;12;8;6;6;2;1;1;2;;;;;;0;0;7;147;32;7;2;;;;;;;;;;;;;;;;;;;;;;17;27;;;;;;;;;;;;
2000;9;1/09/2000;124;39;0;;0;0;0;0;0;0;0;1;0;3;30;40;12;16;21;10;7;6;3;3;5;4;0;1;;;;;;0;1;3;129;19;10;1;;;;;;;;;;;;;;;;;;;;;;21;19;;;;;;;;;;;;
2000;10;1/10/2000;177;37;0;;0;0;0;0;0;0;0;0;0;7;30;41;27;23;21;11;21;8;7;4;4;4;2;2;;;;;;0;0;7;153;40;13;1;;;;;;;;;;;;;;;;;;;;;;27;24;;;;;;;;;;;;
2000;11;1/11/2000;153;42;0;;0;0;0;0;0;0;0;0;0;10;32;34;27;14;19;13;10;4;9;4;1;9;4;3;;;;;;0;0;10;139;27;18;1;;;;;;;;;;;;;;;;;;;;;;24;17;;;;;;;;;;;;
2000;12;1/12/2000;151;49;0;;0;0;0;0;0;0;0;0;0;9;30;44;31;17;21;12;8;10;2;9;1;2;0;1;;;;;;0;0;9;155;29;5;2;;;;;;;;;;;;;;;;;;;;;;24;32;;;;;;;;;;;;
2001;1;1/01/2001;162;47;0;;0;0;0;0;0;0;0;0;1;8;23;53;27;27;20;10;11;5;7;3;8;4;1;0;;;;;;0;0;9;160;26;13;1;;;;;;;;;;;;;;;;;;;;;;37;33;;;;;;;;;;;;
2001;2;1/02/2001;137;45;0;;0;0;0;0;0;0;0;0;0;4;28;39;27;14;17;11;8;9;6;4;4;5;4;1;;;;;;0;0;4;136;27;14;1;;;;;;;;;;;;;;;;;;;;;;24;32;;;;;;;;;;;;
2001;3;1/03/2001;165;42;0;;0;0;0;0;0;0;0;0;0;4;34;51;27;15;10;17;8;17;4;2;3;7;5;1;;;;;;0;0;4;154;31;17;1;;;;;;;;;;;;;;;;;;;;;;21;32;;;;;;;;;;;;
2001;4;1/04/2001;122;49;0;;0;0;0;0;0;0;0;0;0;5;37;31;17;18;13;9;4;7;7;2;10;3;4;1;;;;;;0;0;5;125;20;19;2;;;;;;;;;;;;;;;;;;;;;;21;22;;;;;;;;;;;;
2001;5;1/05/2001;146;55;0;;0;0;0;0;0;0;0;1;0;6;38;32;21;23;14;12;9;9;8;6;6;6;4;2;;;;;;0;1;6;140;32;21;1;;;;;;;;;;;;;;;;;;;;;;19;37;;;;;;;;;;;;
2001;6;1/06/2001;176;47;0;;0;0;0;0;0;0;0;0;0;8;32;40;31;22;20;19;10;17;4;3;8;3;4;0;;;;;;0;0;8;164;34;15;2;;;;;;;;;;;;;;;;;;;;;;39;27;;;;;;;;;;;;
2001;7;1/07/2001;149;53;0;;0;0;0;0;0;0;0;0;0;10;35;40;25;17;9;14;12;6;12;10;3;3;2;0;;;;;;0;0;10;140;40;10;2;;;;;;;;;;;;;;;;;;;;;;32;25;;;;;;;;;;;;
2001;8;1/08/2001;167;49;0;;0;0;0;0;0;0;0;0;0;3;40;43;25;25;17;12;14;11;8;5;4;3;3;1;;;;;;0;0;3;162;38;12;1;;;;;;;;;;;;;;;;;;;;;;24;19;;;;;;;;;;;;
2001;9;1/09/2001;164;40;0;;0;0;0;0;0;0;0;0;0;12;31;39;24;17;14;14;10;8;8;10;8;3;3;3;;;;;;0;0;12;139;36;17;0;;;;;;;;;;;;;;;;;;;;;;22;31;;;;;;;;;;;;
2001;10;1/10/2001;161;46;0;;0;0;0;0;0;0;0;0;0;6;42;34;32;18;14;12;12;11;9;4;7;3;0;1;;;;;;0;0;6;152;36;13;0;;;;;;;;;;;;;;;;;;;;;;29;28;;;;;;;;;;;;
2001;11;1/11/2001;134;37;0;;0;0;0;0;0;0;0;0;0;5;30;39;18;18;12;11;11;5;5;2;4;5;2;1;;;;;;0;0;5;128;23;13;2;;;;;;;;;;;;;;;;;;;;;;26;29;;;;;;;;;;;;
2001;12;1/12/2001;188;48;0;;0;0;0;0;0;0;0;0;0;8;43;50;39;18;18;9;14;6;9;9;6;1;2;2;;;;;;0;0;8;177;38;12;1;;;;;;;;;;;;;;;;;;;;;;30;50;;;;;;;;;;;;
2002;1;1/01/2002;177;37;0;;0;0;0;0;0;0;0;0;1;8;32;46;25;26;10;19;14;5;5;4;5;4;3;4;;;;;;0;0;9;158;28;16;3;;;;;;;;;;;;;;;;;;;;;;24;30;;;;;;;;;;;;
2002;2;1/02/2002;123;40;0;;0;0;0;0;0;0;0;0;0;14;34;18;26;12;8;15;10;11;2;1;7;2;0;2;;;;;;0;0;14;113;24;11;1;;;;;;;;;;;;;;;;;;;;;;30;30;;;;;;;;;;;;
2002;3;1/03/2002;149;58;0;;0;0;0;0;0;0;0;0;0;10;39;42;19;20;12;18;10;5;8;6;4;7;4;0;;;;;;0;0;10;150;29;15;3;;;;;;;;;;;;;;;;;;;;;;23;31;;;;;;;;;;;;
2002;4;1/04/2002;143;41;0;;0;0;0;0;0;0;0;0;0;15;23;45;25;20;13;8;7;10;4;5;2;4;2;1;;;;;;0;0;15;134;26;9;0;;;;;;;;;;;;;;;;;;;;;;27;31;;;;;;;;;;;;
2002;5;1/05/2002;149;39;0;;0;0;0;0;0;0;0;0;2;5;38;38;27;15;13;8;7;13;3;1;7;7;1;0;;;;;;0;0;7;139;24;16;2;;;;;;;;;;;;;;;;;;;;;;26;35;;;;;;;;;;;;
2002;6;1/06/2002;171;44;0;;0;0;0;0;0;0;0;0;1;8;32;38;32;18;17;13;10;9;11;6;3;5;4;2;;;;;;0;0;9;150;36;15;5;;;;;;;;;;;;;;;;;;;;;;31;47;;;;;;;;;;;;
2002;7;1/07/2002;139;49;0;;0;0;0;0;0;0;0;0;2;7;36;39;27;16;18;14;8;6;5;2;2;3;0;2;;;;;;0;0;9;150;21;8;0;;;;;;;;;;;;;;;;;;;;;;30;36;;;;;;;;;;;;
2002;8;1/08/2002;169;62;0;;0;0;0;0;0;0;0;0;1;10;50;46;26;22;18;13;10;7;8;6;5;4;0;2;;;;;;0;0;11;175;31;13;1;;;;;;;;;;;;;;;;;;;;;;34;37;;;;;;;;;;;;
2002;9;1/09/2002;157;50;0;;0;0;0;0;0;0;0;0;1;4;34;37;29;29;16;16;12;9;5;4;1;3;3;2;;;;;;0;0;5;161;30;10;1;;;;;;;;;;;;;;;;;;;;;;31;37;;;;;;;;;;;;
2002;10;1/10/2002;146;45;0;;0;0;0;0;0;0;0;0;0;9;36;35;20;14;19;19;10;8;5;2;4;4;3;1;;;;;;0;0;9;143;25;13;1;;;;;;;;;;;;;;;;;;;;;;33;34;;;;;;;;;;;;
2002;11;1/11/2002;130;44;0;;0;0;0;0;0;0;0;0;1;8;29;33;26;21;12;10;5;11;6;3;4;1;2;1;;;;;;0;0;9;131;25;8;1;;;;;;;;;;;;;;;;;;;;;;20;34;;;;;;;;;;;;
2002;12;1/12/2002;172;59;0;;0;0;0;0;0;0;0;0;0;9;44;41;34;22;17;17;14;12;6;4;4;1;2;3;;;;;;0;0;9;175;36;11;0;;;;;;;;;;;;;;;;;;;;;;37;45;;;;;;;;;;;;
2003;1;1/01/2003;172;52;0;;0;0;0;0;0;0;0;0;0;6;32;47;21;30;21;12;9;9;4;12;10;5;3;1;;;;;;0;0;6;163;34;20;1;;;;;;;;;;;;;;;;;;;;;;31;51;;;;;;;;;;;;
2003;2;1/02/2003;129;36;0;;0;0;0;0;0;0;0;0;0;4;31;35;19;16;13;8;10;8;9;3;3;4;1;1;;;;;;0;0;4;122;30;9;0;;;;;;;;;;;;;;;;;;;;;;34;32;;;;;;;;;;;;
2003;3;1/03/2003;139;55;0;;0;0;0;0;0;0;0;0;1;9;43;37;19;23;13;9;4;9;6;7;4;2;6;1;;;;;;0;0;10;144;26;13;1;;;;;;;;;;;;;;;;;;;;;;32;44;;;;;;;;;;;;
2003;4;1/04/2003;109;46;0;;0;0;0;0;0;0;0;0;0;3;40;24;21;17;7;10;5;5;8;5;4;3;1;0;;;;;;0;0;3;119;23;8;2;;;;;;;;;;;;;;;;;;;;;;30;29;;;;;;;;;;;;
2003;5;1/05/2003;141;57;0;;0;0;0;0;0;0;0;0;1;14;30;26;24;17;18;11;13;9;9;6;9;6;1;1;;;;;;0;0;15;126;37;19;1;;;;;;;;;;;;;;;;;;;;;;36;40;;;;;;;;;;;;
2003;6;1/06/2003;140;57;0;;0;0;0;0;0;0;0;0;0;12;37;31;23;17;15;9;15;15;4;7;3;2;5;2;;;;;;0;0;12;132;41;12;0;;;;;;;;;;;;;;;;;;;;;;28;43;;;;;;;;;;;;
2003;7;1/07/2003;143;54;0;;0;0;0;0;0;0;0;0;0;3;33;35;28;21;16;17;11;6;5;6;5;4;3;1;;;;;;0;0;3;150;28;13;3;;;;;;;;;;;;;;;;;;;;;;31;32;;;;;;;;;;;;
2003;8;1/08/2003;163;44;0;;0;0;0;0;0;0;0;0;0;2;28;48;28;23;15;16;10;6;8;9;4;5;2;0;;;;;;0;0;2;158;33;11;3;;;;;;;;;;;;;;;;;;;;;;33;41;;;;;;;;;;;;
2003;9;1/09/2003;137;49;0;;0;0;0;0;0;0;0;0;0;2;35;41;21;22;11;11;9;9;8;5;4;4;2;1;;;;;;0;0;2;141;31;12;0;;;;;;;;;;;;;;;;;;;;;;33;44;;;;;;;;;;;;
2003;10;1/10/2003;136;40;0;;0;0;0;0;0;0;0;0;0;8;23;28;14;16;14;17;14;10;8;5;6;6;3;4;;;;;;0;0;8;112;37;19;0;;;;;;;;;;;;;;;;;;;;;;30;32;;;;;;;;;;;;
2003;11;1/11/2003;146;47;2;;0;0;0;0;0;0;0;0;2;10;37;30;38;13;12;11;7;8;2;7;4;5;2;4;;;;;;0;0;12;141;24;17;1;;;;;;;;;;;;;;;;;;;;;;33;38;;;;;;;;;;;;
2003;12;1/12/2003;154;40;0;;0;0;0;0;0;0;0;0;0;5;34;22;30;18;15;18;12;9;7;7;8;3;2;1;;;;;;0;0;5;137;35;15;2;;;;;;;;;;;;;;;;;;;;;;25;43;;;;;;;;;;;;
2004;1;1/01/2004;149;38;0;;0;0;0;0;0;0;0;0;2;8;25;26;27;22;11;14;10;9;11;8;4;2;5;1;;;;;;0;0;10;125;38;14;0;;;;;;;;;;;;;;;;;;;;;;38;38;;;;;;;;;;;;
2004;2;1/02/2004;160;41;0;;0;0;0;0;0;0;0;0;1;8;37;37;20;16;15;13;9;15;6;5;6;3;4;0;;;;;;0;0;9;138;35;16;3;;;;;;;;;;;;;;;;;;;;;;32;46;;;;;;;;;;;;
2004;3;1/03/2004;131;46;0;;0;0;0;0;0;0;0;0;0;9;34;18;19;24;19;9;11;4;7;5;6;5;3;1;;;;;;0;0;9;123;27;16;2;;;;;;;;;;;;;;;;;;;;;;28;37;;;;;;;;;;;;
2004;4;1/04/2004;132;41;0;;0;0;0;0;0;0;0;0;0;6;28;34;25;16;16;13;7;3;3;3;4;8;0;3;;;;;;0;0;6;132;16;18;1;;;;;;;;;;;;;;;;;;;;;;36;31;;;;;;;;;;;;
2004;5;1/05/2004;171;52;0;;0;0;0;0;0;0;0;0;0;12;27;49;20;25;17;23;8;13;7;2;6;6;3;4;;;;;;0;0;12;161;30;19;1;;;;;;;;;;;;;;;;;;;;;;42;53;;;;;;;;;;;;
2004;6;1/06/2004;126;45;0;;0;0;0;0;0;0;0;0;0;3;29;38;17;9;9;16;12;9;6;7;1;8;3;3;;;;;;0;0;3;118;34;15;1;;;;;;;;;;;;;;;;;;;;;;25;39;;;;;;;;;;;;
2004;7;1/07/2004;142;36;0;;0;0;0;0;0;0;0;0;1;6;32;34;26;10;12;12;8;10;4;1;6;4;2;3;;;;;;0;0;7;126;23;19;3;;;;;;;;;;;;;;;;;;;;;;23;38;;;;;;;;;;;;
2004;8;1/08/2004;156;48;0;;0;0;0;0;0;0;0;0;1;4;33;30;24;21;13;14;12;10;7;11;10;2;4;2;;;;;;0;0;5;135;40;21;3;;;;;;;;;;;;;;;;;;;;;;34;41;;;;;;;;;;;;
2004;9;1/09/2004;138;34;0;;0;0;0;0;0;0;0;0;0;7;25;25;23;14;13;10;7;16;9;4;4;3;5;2;;;;;;0;0;7;110;36;17;2;;;;;;;;;;;;;;;;;;;;;;28;40;;;;;;;;;;;;
2004;10;1/10/2004;139;39;0;;0;0;0;0;0;0;0;0;1;8;25;35;20;17;10;13;16;8;4;4;7;6;0;2;;;;;;0;0;9;120;32;17;0;;;;;;;;;;;;;;;;;;;;;;32;34;;;;;;;;;;;;
2004;11;1/11/2004;142;43;0;;0;0;0;0;0;0;0;0;0;11;35;32;28;15;15;11;11;4;7;5;3;2;1;2;;;;;;0;0;11;136;27;8;3;;;;;;;;;;;;;;;;;;;;;;27;44;;;;;;;;;;;;
2004;12;1/12/2004;177;39;0;;0;0;0;0;0;0;0;0;1;8;36;44;31;19;20;9;6;6;8;7;4;7;3;4;;;;;;0;0;9;159;27;20;1;;;;;;;;;;;;;;;;;;;;;;41;42;;;;;;;;;;;;
2005;1;1/01/2005;154;42;0;;0;0;0;0;0;0;0;0;1;4;32;34;30;14;16;17;13;7;6;5;6;4;2;1;;;;;;0;0;5;143;31;16;1;;;;;;;;;;;;;;;;;;;;;;34;51;;;;;;;;;;;;
2005;2;1/02/2005;105;28;0;;0;0;0;0;0;0;0;0;0;8;21;23;9;10;13;7;11;6;3;7;4;4;3;1;;;;;;0;0;8;83;27;13;2;;;;;;;;;;;;;;;;;;;;;;22;34;;;;;;;;;;;;
2005;3;1/03/2005;158;51;0;;0;0;0;0;0;0;0;0;1;5;36;39;22;19;15;23;10;11;5;5;5;8;4;0;;;;;;0;0;6;154;31;18;0;;;;;;;;;;;;;;;;;;;;;;43;44;;;;;;;;;;;;
